iter	Passed	Remaining
402	17649	26146
403	17694	26103
404	17730	26048
405	17764	25991
406	17805	25942
407	17837	25881
408	17896	25859
409	17944	25822
410	18004	25801
411	18052	25764
412	18085	25705
413	18125	25656
414	18188	25639
415	18248	25618
416	18303	25589
417	18341	25537
418	18383	25490
419	18416	25432
420	18470	25402
421	18523	25370
422	18558	25315
423	18597	25264
424	18640	25219
425	18690	25183
426	18741	25149
427	18785	25106
428	18818	25047
429	18856	24996
430	18898	24949
431	18968	24939
432	19033	24923
433	19076	24878
434	19127	24844
435	19175	24805
436	19223	24765
437	19262	24716
438	19312	24680
439	19345	24621
440	19383	24569
441	19423	24520
442	19465	24474
443	19531	24457
444	19573	24411
445	19614	24363
446	19654	24315
447	19707	24282
448	19764	24253
449	19844	24254
450	19901	24225
451	19967	24207
452	20018	24172
453	20062	24127
454	20110	24088
455	20156	24046
456	20195	23995
457	20233	23943
458	20272	23894
459	20419	23970
460	20475	23939
461	20523	23899
462	20577	23866
463	20609	23807
464	20658	23768
465	20701	23722
466	20747	23680
467	20786	23629
468	20829	23582
469	20868	23533
470	20908	23483
471	20945	23430
472	21001	23398
473	21052	23361
474	21106	23328
475	21150	23283
476	21198	23242
477	21245	23201
478	21292	23159
479	21334	23112
480	21382	23071
481	21433	23034
482	21490	23002
483	21539	22963
484	21597	22933
485	21638	22885
486	21685	22843
487	21725	22794
488	21764	22743
489	21803	22693
490	21843	22644
491	21887	22599
492	21925	22548
493	21964	22498
494	22010	22455
495	22067	22423
496	22115	22382
497	22168	22347
498	22216	22305
499	22263	22263
500	22317	22228
501	22365	22186
502	22405	22137
503	22442	22086
504	22485	22039
505	22530	21995
506	22584	21960
507	22637	21924
508	22675	21873
509	22722	21831
510	22762	21782
511	22800	21731
512	22839	21682
513	22881	21635
514	22925	21589
515	22967	21543
516	23013	21499
517	23054	21452
518	23100	21409
519	23153	21372
520	23194	21324
521	23231	21273
522	23268	21221
523	23307	21172
524	23360	21135
525	23413	21099
526	23452	21049
527	23502	21009
528	23543	20962
529	23605	20933
530	23660	20897
531	23718	20865
532	23776	20832
533	23816	20784
534	23860	20738
535	23899	20688
536	23936	20638
537	23974	20588
538	24013	20538
539	24059	20495
540	24109	20455
541	24156	20412
542	24277	20432
543	24330	20394
544	24407	20376
545	24459	20338
546	24506	20295
547	24551	20250
548	24595	20204
549	24641	20160
550	24706	20132
551	24743	20081
552	24782	20032
553	24825	19985
554	24881	19950
555	24921	19901
556	24960	19851
557	25012	19812
558	25077	19784
559	25141	19753
560	25187	19710
561	25244	19674
562	25292	19632
563	25336	19586
564	25386	19545
565	25425	19495
566	25463	19445
567	25506	19399
568	25549	19353
569	25588	19303
570	25627	19254
571	25666	19205
572	25724	19169
573	25780	19133
574	25821	19085
575	25858	19034
576	25895	18983
577	25936	18936
578	25991	18898
579	26033	18852
580	26076	18805
581	26117	18757
582	26175	18722
583	26223	18679
584	26268	18635
585	26311	18588
586	26366	18551
587	26412	18506
588	26449	18456
589	26494	18411
590	26539	18366
591	26581	18319
592	26637	18282
593	26685	18239
594	26729	18193
595	26786	18157
596	26833	18113
597	26881	18071
598	26922	18023
599	26960	17973
600	27013	17933
601	27069	17896
602	27107	17847
603	27146	17798
604	27201	17759
605	27252	17718
606	27305	17679
607	27346	17631
608	27383	17581
609	27437	17541
610	27476	17493
611	27513	17443
612	27552	17394
613	27593	17346
614	27640	17303
615	27678	17254
616	27716	17204
617	27754	17155
618	27808	17116
619	27854	17072
620	27894	17024
621	27936	16977
622	27988	16937
623	28037	16894
624	28085	16851
625	28125	16803
626	28162	16753
627	28200	16704
628	28254	16665
629	28304	16623
630	28363	16586
631	28402	16537
632	28440	16489
633	28489	16446
634	28528	16398
635	28565	16348
636	28604	16300
637	28645	16253
638	28682	16203
639	28730	16160
640	28783	16120
641	28839	16082
642	28877	16033
643	28915	15984
644	28963	15941
645	29002	15892
646	29039	15843
647	29077	15795
648	29115	15746
649	29153	15697
650	29197	15652
651	29237	15605
652	29292	15565
653	29346	15525
654	29389	15479
655	29442	15439
656	29490	15396
657	29537	15352
658	29576	15304
659	29613	15255
660	29665	15214
661	29711	15170
662	29755	15124
663	29802	15080
664	29865	15045
665	29923	15006
666	29964	14959
667	30002	14911
668	30039	14862
669	30080	14815
670	30123	14769
671	30160	14721
672	30197	14672
673	30239	14626
674	30281	14580
675	30337	14540
676	30389	14499
677	30441	14457
678	30484	14411
679	30528	14366
680	30566	14318
681	30604	14270
682	30645	14223
683	30690	14178
684	30741	14136
685	30779	14088
686	30817	14040
687	30865	13997
688	30929	13960
689	30969	13913
690	31007	13865
691	31069	13828
692	31109	13781
693	31157	13738
694	31195	13690
695	31233	13642
696	31272	13594
697	31322	13552
698	31373	13509
699	31423	13467
700	31469	13422
701	31508	13375
702	31546	13327
703	31585	13280
704	31646	13242
705	31686	13195
706	31723	13147
707	31759	13098
708	31809	13055
709	31854	13011
710	31894	12964
711	31962	12928
712	32000	12881
713	32048	12837
714	32089	12791
715	32134	12745
716	32177	12700
717	32215	12652
718	32254	12605
719	32296	12559
720	32336	12513
721	32379	12467
722	32428	12424
723	32481	12382
724	32531	12339
725	32567	12291
726	32605	12243
727	32650	12199
728	32694	12153
729	32741	12109
730	32787	12065
731	32826	12018
732	32863	11970
733	32903	11924
734	32958	11883
735	33018	11843
736	33056	11796
737	33095	11749
738	33144	11705
739	33183	11659
740	33221	11611
741	33258	11564
742	33295	11516
743	33332	11469
744	33381	11425
745	33424	11380
746	33472	11336
747	33520	11293
748	33564	11248
749	33612	11204
750	33660	11160
751	33714	11118
752	33765	11075
753	33836	11039
754	33875	10992
755	33913	10945
756	33957	10900
757	34038	10867
758	34079	10821
759	34117	10773
760	34157	10727
761	34198	10681
762	34241	10635
763	34299	10595
764	34341	10549
765	34383	10503
766	34435	10460
767	34507	10424
768	34560	10381
769	34614	10339
770	34665	10296
771	34708	10250
772	34749	10204
773	34807	10163
774	34868	10123
775	34912	10077
776	34954	10031
777	34996	9986
778	35061	9946
779	35129	9908
780	35172	9862
781	35223	9819
782	35262	9772
783	35307	9727
784	35348	9681
785	35393	9636
786	35439	9591
787	35478	9544
788	35514	9497
789	35561	9453
790	35611	9409
791	35662	9365
792	35703	9319
793	35741	9272
794	35890	9254
795	35938	9210
796	35976	9163
797	36020	9118
798	36073	9074
799	36131	9032
800	36210	8996
801	36259	8951
802	36299	8905
803	36343	8859
804	36402	8817
805	36450	8773
806	36502	8729
807	36556	8686
808	36624	8646
809	36682	8604
810	36809	8578
811	36869	8536
812	36926	8493
813	36970	8447
814	37013	8401
815	37059	8356
816	37100	8310
817	37139	8263
818	37179	8216
819	37250	8176
820	37290	8130
821	37330	8083
822	37367	8036
823	37404	7989
824	37442	7942
825	37486	7896
826	37527	7850
827	37565	7803
828	37605	7757
829	37644	7710
830	37694	7665
831	37741	7620
832	37799	7577
833	37846	7533
834	37889	7487
835	37939	7442
836	37977	7395
837	38016	7349
838	38061	7303
839	38109	7259
840	38154	7213
841	38205	7169
842	38250	7123
843	38326	7083
844	38376	7039
845	38416	6993
846	38466	6948
847	38509	6902
848	38560	6858
849	38604	6812
850	38645	6766
851	38695	6721
852	38754	6678
853	38801	6633
854	38850	6588
855	38890	6542
856	38929	6495
857	38969	6449
858	39018	6404
859	39058	6358
860	39184	6325
861	39248	6283
862	39300	6238
863	39538	6223
864	39587	6178
865	39629	6131
866	39672	6085
867	39713	6039
868	39778	5996
869	39820	5950
870	39861	5903
871	39917	5859
872	39993	5818
873	40040	5772
874	40083	5726
875	40123	5679
876	40162	5632
877	40204	5586
878	40248	5540
879	40300	5495
880	40343	5449
881	40394	5404
882	40447	5359
883	40495	5313
884	40565	5271
885	40610	5225
886	40658	5179
887	40698	5133
888	40740	5086
889	40786	5041
890	40842	4996
891	40891	4950
892	40944	4905
893	41041	4866
894	41097	4821
895	41155	4776
896	41196	4730
897	41250	4685
898	41300	4639
899	41355	4595
900	41395	4548
901	41439	4502
902	41495	4457
903	41534	4410
904	41602	4367
905	41639	4320
906	41686	4274
907	41728	4228
908	41769	4181
909	41814	4135
910	41862	4089
911	41905	4043
912	41949	3997
913	41988	3950
914	42035	3904
915	42085	3859
916	42152	3815
917	42197	3769
918	42245	3723
919	42296	3677
920	42348	3632
921	42409	3587
922	42447	3541
923	42484	3494
924	42521	3447
925	42580	3402
926	42644	3358
927	42688	3312
928	42727	3265
929	42773	3219
930	42812	3173
931	42849	3126
932	42904	3081
933	42961	3035
934	43039	2992
935	43103	2947
936	43160	2901
937	43219	2856
938	43261	2810
939	43311	2764
940	43366	2719
941	43432	2674
942	43474	2627
943	43517	2581
944	43569	2535
945	43639	2491
946	43710	2446
947	43751	2399
948	43803	2354
949	43842	2307
950	43880	2260
951	43921	2214
952	43971	2168
953	44016	2122
954	44054	2075
955	44103	2029
956	44152	1983
957	44206	1938
958	44264	1892
959	44306	1846
960	44348	1799
961	44400	1753
962	44445	1707
963	44491	1661
964	44551	1615
965	44601	1569
966	44641	1523
967	44685	1477
968	44765	1432
969	44810	1385
970	44848	1339
971	44886	1293
972	44924	1246
973	44967	1200
974	45015	1154
975	45058	1107
976	45099	1061
977	45140	1015
978	45188	969
979	45239	923
980	45292	877
981	45335	830
982	45378	784
983	45428	738
984	45469	692
985	45508	646
986	45555	600
987	45596	553
988	45644	507
989	45695	461
990	45751	415
991	45831	369
992	45877	323
993	45916	277
994	45956	230
995	45997	184
996	46042	138
997	46092	92
998	46133	46
999	46174	0
