iter	Logloss	Accuracy
0	0.6197643822	0.981538461511	0.5631086848	0.981367521422	0.511712291	0.9815384615
3	0.4648196232	0.9815384615
4	0.4161307856	0.9817094017
5	0.3760708034	0.9817094017
6	0.3274769431	0.981709401777	0.2808802723	0.982051282888	0.243430843	0.981709401799	0.2128912989	0.9818803419110	0.1865170408	0.9818803411111	0.1648819037	0.9868376061212	0.1480249999	0.9970940113113	0.1298171423	0.997094014	114	0.1137799511	0.99709415	0115	0.1016621135	0.99726416	0116	0.08860394629	0.9972617	01717	0.07791930867	0.9974318	18	18	0.06824645198	0.9974319	19119	0.06200531475	0.9974320	20220	0.05477808135	0.9976021	21221	0.04958734729	0.9976022	22222	0.04474189815	0.9976023	22323	0.04022899939	0.997924	022424	0.03676750501	0.997925	022525	0.03352663465	0.997726	026	26	0.03071511042	0.927	0.0227	27	0.028528	0.02471745483	1229	0.02242168228	1230	0.02091157943	1
31	0.01919272233	1
32	0.01773510429	1
33	0.01630800976	1
34	0.01511573791	1
35	0.01402356363	1
36	0.01288095113	1
37	0.01249232658	1
38	0.01158164149	1
39	0.01092803039	1
40	0.01027598204	1
41	0.009798769368	1
42	0.00961722132	1
43	0.009502762968	1
44	0.009036866032	1
45	0.00892562231	1
46	0.008735554722	1
47	0.00853825667	1
48	0.008073190705	1
49	0.007919342822	1
50	0.007842532901	1
51	0.007765583642	1
52	0.007223688024	1
53	0.006723825435	1
54	0.00632387379	1
55	0.006249349609	1
56	0.005850478543	1
57	0.005511186334	1
58	0.005349524547	1
59	0.00529708013	1
60	0.005183726832	1
61	0.004920617937	1
62	0.004916380774	1
63	0.004911494623	1
64	0.004906454684	1
65	0.004889873977	1
66	0.004762002217	1
67	0.004757689099	1
68	0.004742271058	1
69	0.004643386543	1
70	0.004592721167	1
71	0.004564966336	1
72	0.004348981608	1
73	0.004348981441	1
74	0.004193423447	1
75	0.004126975055	1
76	0.00408500153	1
77	0.004081396637	1
78	0.004047168864	1
79	0.003885858581	1
80	0.003859862439	1
81	0.003859856184	1
82	0.003859847486	1
83	0.003859846203	1
84	0.003849214881	1
85	0.003673748407	1
86	0.003523232606	1
87	0.00341962261	1
88	0.003419621507	1
89	0.003345117937	1
90	0.003240730639	1
91	0.003240729046	1
92	0.003240729046	1
93	0.00324071651	1
