iter	Logloss	Accuracy
0	0.6358213986	0.9823076923
1	0.5922366584	0.9813846154
2	0.5369683256	0.9816923077
3	0.4940109797	0.9816923077
4	0.4561170937	0.9818461538
5	0.4104969647	0.9821538462
6	0.3803021434	0.9821538462
7	0.343481471	0.9823076923
8	0.3223071499	0.9823076923
9	0.2928239335	0.9823076923
10	0.2758104976	0.9823076923
11	0.2602779216	0.9823076923
12	0.2436451822	0.9823076923
13	0.217945133	0.9823076923
14	0.1937219898	0.9823076923
15	0.1719268862	0.9823076923
16	0.1533009994	0.9823076923
17	0.1370236589	0.9872307692
18	0.1247318488	0.9872307692
19	0.1117679546	0.9872307692
20	0.1004560114	0.9981538462
21	0.09066965482	0.9981538462
22	0.08148162016	0.9981538462
23	0.0737029103	0.9981538462
24	0.06691767333	0.9983076923
25	0.0606539136	0.9983076923
26	0.05522009239	0.9984615385
27	0.05036910923	0.9984615385
28	0.04605006026	0.9986153846
29	0.0419994461	0.9986153846
30	0.03838103827	0.9986153846
31	0.03533333981	0.9986153846
32	0.03272843144	0.9986153846
33	0.03026209623	0.9998461538
34	0.02798467114	0.9998461538
35	0.02595073185	0.9998461538
36	0.02406000874	0.9998461538
37	0.02238470939	0.9998461538
38	0.02091164044	0.9998461538
39	0.01946608589	0.9998461538
40	0.01824750485	0.9998461538
41	0.01716453207	0.9998461538
42	0.01629035012	0.9998461538
43	0.01530034576	0.9998461538
44	0.01431895699	0.9998461538
45	0.01343288093	0.9998461538
46	0.01268245726	0.9998461538
47	0.01247187831	0.9998461538
48	0.01167372033	0.9998461538
49	0.01099533051	0.9998461538
50	0.01082799028	0.9998461538
51	0.01072012114	0.9998461538
52	0.0102578301	0.9998461538
53	0.009968036185	0.9998461538
54	0.009673584189	0.9998461538
55	0.009268153444	0.9998461538
56	0.009174616778	0.9998461538
57	0.009028833319	0.9998461538
58	0.008750749426	0.9998461538
59	0.008492877812	0.9998461538
60	0.008296938956	0.9998461538
61	0.008195759994	0.9998461538
62	0.007742709917	0.9998461538
63	0.007645465072	0.9998461538
64	0.00739020072	0.9998461538
65	0.007313146751	0.9998461538
66	0.00724844563	1
67	0.006925598806	1
68	0.006838796751	1
69	0.006831442582	1
70	0.006667543699	1
71	0.006605380583	1
72	0.00640234253	1
73	0.006381372597	1
74	0.006355181604	1
75	0.006316297737	1
76	0.006126192285	1
77	0.005873922577	1
78	0.005829556813	1
79	0.005797185391	1
80	0.005721368459	1
81	0.005520219164	1
82	0.005363594919	1
83	0.005232397852	1
84	0.005169269116	1
85	0.005096971187	1
86	0.005092157828	1
87	0.005066751076	1
88	0.005062237752	1
89	0.004847355652	1
90	0.004670052305	1
91	0.004664417687	1
92	0.004661014244	1
93	0.004498225134	1
94	0.004334336185	1
95	0.004292708769	1
96	0.004138399647	1
97	0.004133523923	1
98	0.004130278842	1
99	0.00402569797	1
100	0.004005052831	1
101	0.003961627337	1
102	0.003948461355	1
103	0.00387440057	1
104	0.00387097807	1
105	0.003849568213	1
106	0.003825151008	1
107	0.003768913116	1
108	0.003736491699	1
109	0.003603409739	1
110	0.003578259718	1
111	0.003457807903	1
112	0.003355697611	1
113	0.003340642153	1
114	0.003259980066	1
115	0.003240172016	1
116	0.003137949428	1
117	0.003047023325	1
118	0.003047023325	1
119	0.002960909708	1
120	0.002868772631	1
121	0.002852263928	1
122	0.002810677481	1
123	0.002797269877	1
124	0.002788169637	1
125	0.002788161777	1
126	0.00269991598	1
127	0.002694169821	1
128	0.002690611614	1
129	0.002685699439	1
130	0.002685690085	1
131	0.002673504476	1
132	0.002655861916	1
133	0.002648540539	1
134	0.002641399598	1
135	0.002639366387	1
136	0.002619941698	1
137	0.002577858904	1
138	0.002564282133	1
139	0.002556410542	1
140	0.002535560414	1
141	0.00252735286	1
142	0.002523167824	1
143	0.002474029452	1
144	0.002461555383	1
145	0.002461550232	1
146	0.002460103242	1
147	0.002451267534	1
148	0.002427790891	1
149	0.002423664936	1
150	0.002423660923	1
151	0.002412842691	1
152	0.002409573251	1
153	0.002399912616	1
154	0.002394390242	1
155	0.002387328259	1
156	0.002376683004	1
157	0.002365074557	1
158	0.002364722542	1
159	0.002359679827	1
160	0.002359663122	1
161	0.002354790871	1
162	0.002348200973	1
163	0.002305273607	1
164	0.002300275169	1
165	0.002294681442	1
166	0.002282870878	1
167	0.002257427783	1
168	0.002255192062	1
169	0.002253563461	1
170	0.002248958108	1
171	0.002242050751	1
172	0.002236646034	1
173	0.002236646034	1
174	0.002234506813	1
175	0.002234506813	1
176	0.002230190742	1
177	0.002227843541	1
178	0.00222627285	1
179	0.002221079179	1
180	0.002221079179	1
181	0.002221077608	1
182	0.002216922639	1
183	0.002211723498	1
184	0.002201623959	1
185	0.002183848829	1
186	0.002173540364	1
187	0.002167807506	1
188	0.002163339625	1
189	0.002159504823	1
190	0.002155599743	1
191	0.002152796743	1
192	0.002112299131	1
193	0.002112293939	1
194	0.002110575629	1
195	0.002105232276	1
196	0.002072922073	1
197	0.002067910288	1
198	0.002067910288	1
199	0.002060676855	1
200	0.002034587768	1
201	0.002023865453	1
202	0.002019105798	1
203	0.00201910441	1
204	0.002009159182	1
205	0.002009159182	1
206	0.002004177664	1
207	0.002001609007	1
208	0.001996111841	1
209	0.001979851654	1
210	0.001971036797	1
211	0.001971030294	1
212	0.001963320992	1
213	0.001956168032	1
214	0.001956165077	1
215	0.001955238216	1
216	0.001955237021	1
217	0.001953499086	1
218	0.001953499086	1
219	0.00195249508	1
220	0.001937115796	1
221	0.001932713725	1
222	0.001932710709	1
223	0.001927218133	1
224	0.001920729374	1
225	0.00191453325	1
226	0.001910295154	1
227	0.001910295154	1
228	0.00190866591	1
229	0.001907129115	1
230	0.001907128862	1
231	0.001903458745	1
232	0.001903456782	1
233	0.001903454767	1
234	0.001870907192	1
235	0.001856333903	1
236	0.001856332385	1
237	0.001856327576	1
238	0.00185432992	1
239	0.00185432992	1
240	0.001832345072	1
241	0.001829284239	1
242	0.001823695332	1
243	0.001785824713	1
244	0.001785814782	1
245	0.00178029126	1
246	0.001780257844	1
247	0.001777056143	1
248	0.001767691751	1
249	0.001762732967	1
250	0.001761637719	1
251	0.001761637719	1
252	0.001761631767	1
253	0.001761627648	1
254	0.001756937798	1
255	0.001750494007	1
256	0.001750494007	1
257	0.001730209885	1
258	0.00173019702	1
259	0.001730196083	1
260	0.001723810148	1
261	0.001723805208	1
262	0.001722296429	1
263	0.001722296429	1
264	0.001722294903	1
265	0.001720943976	1
266	0.001720943976	1
267	0.001720942751	1
268	0.001719936924	1
269	0.001719930738	1
270	0.001713851423	1
271	0.001683811222	1
272	0.001683811222	1
273	0.001683811222	1
274	0.001678874355	1
275	0.001678872643	1
276	0.00165238936	1
277	0.001648097289	1
278	0.001648097289	1
279	0.001643648283	1
280	0.001643647864	1
281	0.001609567348	1
282	0.001606363086	1
283	0.00160635325	1
284	0.001606351916	1
285	0.001605144743	1
286	0.001605144743	1
287	0.001605135979	1
288	0.001605135979	1
289	0.001599482589	1
290	0.001599482589	1
291	0.001553656904	1
292	0.001553654932	1
293	0.001553627897	1
294	0.001553623499	1
295	0.001550435405	1
296	0.001550429056	1
297	0.001547555778	1
298	0.001547552657	1
299	0.001547544535	1
300	0.001547531772	1
301	0.001544389847	1
302	0.001535348359	1
303	0.001535340157	1
304	0.001530980123	1
305	0.001514993935	1
306	0.001514988033	1
307	0.001509529267	1
308	0.001508069203	1
309	0.001504195408	1
310	0.001502413132	1
311	0.001495587635	1
312	0.001489991742	1
313	0.001477195805	1
314	0.001477194473	1
315	0.001477191101	1
316	0.001471052669	1
317	0.001466625181	1
318	0.001460758653	1
319	0.001460756195	1
320	0.001459626388	1
321	0.001455419417	1
322	0.001455417398	1
323	0.001429430364	1
324	0.001429430364	1
325	0.001429429605	1
326	0.001429425572	1
327	0.0014225441	1
328	0.001403628233	1
329	0.001403627184	1
330	0.001403625906	1
331	0.001400791964	1
332	0.001388556117	1
333	0.001388551217	1
334	0.001388540031	1
335	0.001388540031	1
336	0.001388540031	1
337	0.001388540031	1
338	0.001388537037	1
339	0.001388508433	1
340	0.001388505911	1
341	0.001386021638	1
342	0.001386020135	1
343	0.001386018633	1
344	0.001386014524	1
345	0.00138600611	1
346	0.001385999713	1
347	0.001385997594	1
348	0.001374913814	1
349	0.001374912558	1
350	0.001370252713	1
351	0.001370251445	1
352	0.001356140517	1
353	0.001349881394	1
354	0.001339844611	1
355	0.001339821754	1
356	0.001329295468	1
357	0.001324844954	1
358	0.001320276267	1
359	0.001320274707	1
360	0.001320273541	1
361	0.00131563041	1
362	0.001301986081	1
363	0.001301986081	1
364	0.001301984355	1
365	0.001294222125	1
366	0.001294220299	1
367	0.001293590949	1
368	0.001289423708	1
369	0.001282032455	1
370	0.001274949477	1
371	0.001274944889	1
372	0.001270158544	1
373	0.001267760583	1
374	0.001267756207	1
375	0.001267756207	1
376	0.001258105185	1
377	0.001258099819	1
378	0.001258098642	1
379	0.001252886408	1
380	0.001252885188	1
381	0.001243823198	1
382	0.001243823198	1
383	0.001243819984	1
384	0.001243819249	1
385	0.001218732715	1
386	0.001209087728	1
387	0.001209086807	1
388	0.001199811048	1
389	0.001199810313	1
390	0.001178537562	1
391	0.001158209395	1
392	0.001158172633	1
393	0.001158171442	1
394	0.001138736343	1
395	0.00113061074	1
396	0.001130607035	1
397	0.001130602543	1
398	0.001117057334	1
399	0.001117054784	1
400	0.001117054784	1
401	0.001099330357	1
402	0.00109932871	1
403	0.001093054341	1
404	0.001093054341	1
405	0.001092573864	1
406	0.001092573864	1
407	0.001092567357	1
408	0.001084007663	1
409	0.001084006816	1
410	0.001077398354	1
411	0.001077394168	1
412	0.001077392661	1
413	0.001077392118	1
414	0.001077390038	1
415	0.001070650827	1
416	0.001070650827	1
417	0.001061195025	1
418	0.001054854908	1
419	0.001054847483	1
420	0.001041253353	1
421	0.001035076873	1
422	0.001035066754	1
423	0.001035065379	1
424	0.001035064575	1
425	0.001035063199	1
426	0.001029969577	1
427	0.001029944506	1
428	0.001029941154	1
429	0.001029933072	1
430	0.001029930409	1
431	0.001029928114	1
432	0.001029925508	1
433	0.001029924933	1
434	0.001024117787	1
435	0.001017376697	1
436	0.001015003263	1
437	0.001015001184	1
438	0.00101500014	1
439	0.00101500014	1
440	0.001014999066	1
441	0.001014999066	1
442	0.001014999066	1
443	0.001009965969	1
444	0.001009965377	1
445	0.001009076842	1
446	0.001009076842	1
447	0.001009076356	1
448	0.00100907549	1
449	0.001009074624	1
450	0.001009070394	1
451	0.001009069212	1
452	0.001009058877	1
453	0.00100905839	1
454	0.00100905839	1
455	0.001009057799	1
456	0.001009053523	1
457	0.001009053523	1
458	0.001009053523	1
459	0.001001673561	1
460	0.001001670832	1
461	0.0009964396802	1
462	0.0009964391864	1
463	0.0009964374498	1
464	0.0009913773202	1
465	0.0009913751571	1
466	0.0009913717063	1
467	0.0009913717063	1
468	0.0009913717063	1
469	0.0009913707397	1
470	0.0009913707397	1
471	0.0009913688061	1
472	0.0009877903593	1
473	0.0009877881918	1
474	0.0009877858378	1
475	0.0009877838853	1
476	0.0009877822057	1
477	0.0009841276547	1
478	0.0009841271536	1
479	0.0009841253455	1
480	0.0009792162488	1
481	0.0009755740833	1
482	0.0009755740833	1
